정류장ID,버스정류장명,정류장X좌표,정류장Y좌표,geometry
9004276,신곡시장.금빛새마을금고,126.84375833333334,37.51969,POINT (126.84375833333334 37.51969)
9004278,신한은행신월동지점,126.84160500000002,37.51802166666666,POINT (126.84160500000002 37.51802166666666)
9004279,신한은행신월동지점,126.84186166666665,37.51790166666667,POINT (126.84186166666665 37.51790166666667)
9004280,강월초교사거리,126.83787333333333,37.51674,POINT (126.83787333333333 37.51674)
9004281,강월초교사거리,126.8378,37.51640833333333,POINT (126.8378 37.51640833333333)
9004283,신월시영아파트.강월초등학교,126.83552999999999,37.51573166666667,POINT (126.83552999999999 37.51573166666667)
9007770,목동센트럴1단지,126.840655,37.516481666666664,POINT (126.840655 37.516481666666664)
9007777,목동센트럴2단지,126.84105833333334,37.51557666666667,POINT (126.84105833333334 37.51557666666667)
9007783,벽산.대주아파트,126.84155000000001,37.514448333333334,POINT (126.84155000000001 37.514448333333334)
9008098,거산아파트,126.83204499999998,37.540259999999996,POINT (126.83204499999998 37.540259999999996)
9008105,신곡시장,126.84263666666666,37.518765,POINT (126.84263666666666 37.518765)
9008109,목동센트럴2단지.이마트24,126.84086666666666,37.515771666666666,POINT (126.84086666666666 37.515771666666666)
9008112,벽산.대주아파트,126.84139333333333,37.51461166666666,POINT (126.84139333333333 37.51461166666666)
9008198,목동센트럴1단지,126.84052000000001,37.516601666666666,POINT (126.84052000000001 37.516601666666666)
9008213,수명산입구,126.82886500000001,37.54345166666667,POINT (126.82886500000001 37.54345166666667)
9013261,거산아파트,126.83169333333332,37.54071333333333,POINT (126.83169333333332 37.54071333333333)
9013264,강서양천교육지원청,126.83065666666668,37.54118166666667,POINT (126.83065666666668 37.54118166666667)
9033319,신월2동우체국,126.85124833333333,37.52308166666667,POINT (126.85124833333333 37.52308166666667)
9033324,신월시영아파트.강월초등학교,126.835305,37.51593666666667,POINT (126.835305 37.51593666666667)
9033976,신곡시장.금빛새마을금고,126.84375166666665,37.519306666666665,POINT (126.84375166666665 37.519306666666665)
9104272,신정네거리해누리분수광장,126.85146833333334,37.52193166666667,POINT (126.85146833333334 37.52193166666667)
9104274,동방아파트,126.84634,37.52193,POINT (126.84634 37.52193)
9104275,동방아파트.신월종합사회복지관,126.846305,37.52147333333333,POINT (126.846305 37.52147333333333)
9104276,신곡시장.금빛새마을금고,126.84375833333334,37.51969,POINT (126.84375833333334 37.51969)
9104278,신한은행신월동지점,126.84160500000002,37.51802166666666,POINT (126.84160500000002 37.51802166666666)
9104279,신한은행신월동지점,126.84186166666665,37.51790166666667,POINT (126.84186166666665 37.51790166666667)
9133976,신곡시장.금빛새마을금고,126.84375166666665,37.519306666666665,POINT (126.84375166666665 37.519306666666665)
