승차정류장ID,승차정류장명,위도_x,경도_x,승객수
4135,한성백제,37.516404,127.116503,17
4136,올림픽공원(한국체대),37.516269,127.130288,39
4137,우성5차아파트,37.50733833333334,126.90303333333334,5
4138,중앙보훈병원,37.529191,127.148739,17
4142,도림동자치회관,37.50955,126.90755,69
4144,우성5차아파트,37.507603333333336,126.90320666666666,99
4402,대방,37.5133059,126.9257265,9
4403,서울지방병무청,37.5060464,126.9227083,4
4404,보라매,37.5002739,126.9204355,9
4405,보라매공원,37.4955691,126.9180827,12
4406,보라매병원,37.4929598,126.9234964,68
4407,당곡,37.4902998,126.9275133,17
4409,서원,37.4782341,126.9330365,3
4410,서울대벤처타운,37.4720019,126.9339351,23
4411,관악산(서울대),37.4691018,126.9450639,22
4701,북한산우이,37.662909,127.012706,14
4702,솔밭공원,37.65603,127.013273,2
4703,4.19민주묘지,37.649502,127.013684,34
4704,가오리,37.641537,127.016789,3
4705,화계,37.634133,127.017511,1
4706,삼양,37.626914,127.018106,2
4707,삼양사거리,37.621337,127.020473,1
4708,솔샘,37.620238,127.013626,7
4709,북한산보국문,37.612072,127.008251,4
4710,정릉,37.603133,127.013396,1
4711,성신여대입구(돈암),37.592467,127.016516,1
5085,강서구올림픽체육센터,37.55991166666667,126.85018166666666,5
7046,자동차매매단지,37.48878666666667,126.74748833333334,3
7086,상도중학교,37.49343,126.75963833333331,6
7197,명륜3가.성대입구,37.58258166666667,126.99825166666666,20
7203,북일산전화국.일산2동주민센터,37.68491,126.77623666666663,1
7206,부천대학입구.KT부천지사,37.48650833333333,126.77799833333331,19
7230,부천상상거리,37.48616666666667,126.78018833333331,31
7247,뉴대성병원.심곡천,37.49166666666667,126.784575,22
7252,부천북초등학교,37.494765,126.785275,27
7258,도당사거리.북중학교,37.519025000000006,126.78573333333334,3
7272,춘의역,37.504415,126.78701833333336,11
7356,개화119안전센터,37.57512833333333,126.802225,6
7362,성곡동주민센터,37.516351666666665,126.80391166666668,23
7364,원종역3번출구,37.52328333333333,126.80467333333333,1
7367,원종역2번출구,37.522975,126.80498166666666,167
7387,공항시장,37.56242333333333,126.80875166666668,10
7404,방화2동우촌연립,37.57006,126.81151,12
7420,공항동송정중학교,37.552778333333336,126.81511666666664,127
7421,공항동송정중학교,37.55313,126.81536833333332,1
7422,공항중학교,37.56112,126.81465333333333,19
7426,수주도서관.고강선사유적공원,37.52479833333334,126.81587666666668,110
7428,서울농원,37.53607,126.81629666666667,9
7429,공항중학교,37.56346666666666,126.81628166666664,50
7458,양원초교.광영여고,37.53911333333333,126.82345333333332,40
7475,서울금융고등학교,37.53724,126.8271,1561
7478,신월5동주민센터.신월중학교,37.539253333333335,126.82761666666666,202
7479,신월5동주민센터.신월중학교,37.539523333333335,126.82758,1015
7486,신월3동주민센터.신월3동우체국,37.53466,126.828835,2014
7489,서부여성발전센터,37.535111666666666,126.829065,220
7501,신화중학교,37.539355,126.83076333333332,38
7508,신월1동주민센터.신월보건지소,37.532183333333336,126.83105,578
7511,신화중학교,37.53965333333333,126.83135,285
7514,서서울호수공원,37.52903666666667,126.83261666666668,931
7522,서서울호수공원,37.52933666666667,126.832865,923
7526,궁동청소년문화의집.구로검사소,37.49313333333334,126.83363333333334,5
7533,신월동우성상가,37.52179,126.83383833333332,1802
7539,신월동우성상가,37.52171666666666,126.83399,793
7553,신월문화체육센터,37.51996833333333,126.83524833333334,609
7556,화곡중고등학교,37.547223333333335,126.83622333333332,498
7557,우장산역4번출구,37.54982333333333,126.836145,434
7558,신월문화체육센터,37.52011666666667,126.83619833333331,227
7569,국립과학수사연구소입구,37.522355,126.837035,2272
7570,과학수사연구소입구,37.521905,126.83696166666664,328
7572,신월시영아파트중문,37.519088333333336,126.836715,538
7573,가로공원.나누리병원,37.537463333333335,126.83689,152
7576,가로공원.나누리병원,37.536883333333336,126.83719166666668,17
7578,대원시장,37.544603333333335,126.83736500000002,308
7583,금실어린이공원,37.517986666666665,126.83780666666668,246
7584,대원시장,37.54409333333333,126.83822833333332,1
7586,경창빌딩,37.51866,126.83858166666666,68
7587,화곡동대림아파트.화곡중앙시장,37.53418,126.83832166666669,679
7590,화곡역,37.54103833333333,126.83875333333332,299
7591,화곡대림아파트,37.53300333333333,126.83893000000002,138
7592,한빛종합사회복지관,37.521256666666666,126.83925166666668,523
7593,한빛종합사회복지관,37.521341666666665,126.83874333333333,506
7596,화곡역8번출구,37.54302,126.83894833333332,176
7608,화곡역1번출구,37.54279833333333,126.83951666666664,10
7613,양천향교역7번출구,37.56695166666667,126.840785,162
7614,강신중학교,37.51537333333333,126.84037000000002,1129
7620,화곡동백구사,37.532383333333335,126.840795,117
7621,화곡역5번출구,37.54067833333333,126.84097333333332,1905
7622,화곡역4번출구,37.541015,126.84111666666668,1
7632,서부트럭터미널.신정동일하이빌아파트,37.510088333333336,126.8424,4
7633,서부트럭터미널.신정동일하이빌아파트,37.510935,126.84236333333337,1493
7634,화곡동백구사,37.5326,126.84251833333336,428
7635,화곡본동시장,37.54324833333333,126.84270333333332,1243
7642,보문역,37.585775,127.01897333333334,2
7646,정릉길음시장,37.602215,127.01932666666669,1
7651,수유2동주민센터우이시장,37.64510166666666,127.019435,3
7658,송동마을.서초힐스아파트,37.45908166666666,127.017885,3
7677,보문동성당,37.582325,127.02084833333332,1
7684,보문동성당,37.58246833333333,127.02107166666669,3
7693,보문동주민센터,37.58045333333334,127.02188333333334,4
7700,신사역8번출구.가로수길,37.51742333333333,127.02223833333332,5
7703,서초푸르지오써밋.롯데캐슬클래식,37.50147166666667,127.02216833333333,8
7708,성동고등학교,37.565595,127.02218333333332,7
7725,영동시장,37.511925,127.02345666666666,1
7738,진흥아파트,37.497888333333336,127.02390166666667,14
7769,신설동역,37.57586333333334,127.02376833333334,5
7773,신사동고개,37.51889833333333,127.025755,3
7781,강남역.강남역사거리,37.497843333333336,127.02652166666668,55
7786,래미안에스티지에스,37.49253833333333,127.02646833333334,1
7823,강남역12번출구,37.498810000000006,127.02955833333333,5
7830,학동역,37.51491833333333,127.03014666666668,3
7844,응봉동현대아파트,37.549731666666666,127.03057833333332,4
7866,수송초등학교,37.63699833333333,127.03164666666667,1
7888,응봉동주민센터,37.553286666666665,127.03345166666668,3
7923,역삼역4번출구,37.50042833333334,127.034735,5
7932,양곡도매시장,37.460341666666665,127.03519666666668,1
7990,서울숲삼부아파트,37.55878,127.03797833333334,4
8011,역삼럭키아파트.역삼월드메르디앙아파트,37.49195,127.03875833333336,1
8018,아가방빌딩.하나은행,37.50164,127.03877166666668,1
8052,방학사거리,37.66272,127.04061833333331,1
8105,한양대정문앞,37.55699666666667,127.04313833333332,3
8120,서울상록회관.한국기술센터,37.50323166666667,127.04405666666668,4
8143,성동구민종합체육센터,37.54649333333334,127.04453333333336,1
8145,현대코아,37.581435000000006,127.04463666666668,1
8151,성동구민종합체육센터,37.54604833333334,127.04488166666668,2
8262,개나리골입구,37.45728333333333,127.04802666666669,1
8264,선릉역,37.50596666666667,127.04823,1
8269,선릉역8번출구.선정릉,37.50620333333333,127.04833666666669,1
8308,서울성심병원,37.584395,127.05028166666668,1
8346,도성초교사거리,37.50088166666667,127.05161166666667,1
8364,서울숲지구대앞,37.53797333333333,127.05222166666664,1
8378,경희대입구,37.59158333333333,127.05271333333332,3
8386,현대아파트경남아파트,37.482875,127.053115,1
8395,성수역1번출구,37.54542,127.05383,5
8447,중앙동성당앞,37.48580166666667,126.95466333333334,1
8454,중앙동성당앞,37.48592166666666,126.955195,1
8465,홍지문,37.59691,126.95626333333333,2
8471,홍지문.옥천암,37.59664833333333,126.95654,2
8484,숭실대정문앞,37.49533333333333,126.95725833333331,2
8490,도원삼성래미안아파트,37.5398,126.95739166666664,1
8501,세검정.상명대,37.600476666666665,126.95829166666664,2
8523,용문시장,37.53605666666667,126.96132666666666,2
8530,중앙대학교,37.50816666666666,126.96132333333335,5
8538,용산전자상가10동,37.53328833333333,126.96200333333331,21
8552,숙명여대후문.이봉창활동터,37.54609166666667,126.96330666666668,1
8587,평창파출소,37.605360000000005,126.966035,1
8589,손기정체육공원입구,37.55441833333334,126.96625833333334,13
8598,서울미술고.인헌중고,37.47651833333334,126.96549000000002,10
8599,신용산역3번출구,37.528888333333335,126.96735166666669,43
8609,샘마을.대안중학교,37.37420833333333,126.96733333333334,6
8635,평창동주민센터,37.606645,126.96963166666669,2
8692,민백마을,37.38744666666666,126.97290166666669,1
8694,남영우체국,37.545370000000005,126.97348166666669,1
8722,서소문,37.56319166666666,126.97465166666667,32
8733,롯데아파트,37.61039,126.97631666666666,5
8745,후암3거리,37.55241166666666,126.97661,2
8756,후암시장,37.55064,126.977095,9
8767,후암시장,37.54974833333333,126.97755,5
8773,용산중고,37.54666,126.97818166666666,3
8780,용산중고,37.546755,126.978365,1
8785,백범광장,37.55573666666667,126.98009333333331,1
8790,과천푸르지오라비엔오,37.41320833333334,126.98208166666667,9
8796,을지로입구.시청입구,37.566181666666665,126.98119833333334,15
8801,남산도서관.용산도서관,37.552281666666666,126.980835,4
8818,안국동,37.57463666666667,126.98269666666666,34
8824,이수교,37.49669,126.98333333333332,9
8838,녹사평역,37.53507333333334,126.985125,1
8851,대항병원.연세사랑병원,37.475715,126.98711333333334,1
8856,국가인권위.안중근활동터,37.56434166666666,126.98779166666668,5
8864,을지로2가.파인에빈뉴,37.566071666666666,126.98867,3
8878,서빙고역교차로,37.52042666666667,126.9899,7
8879,정부과천청사역2번출구,37.42637166666667,126.99019666666666,1
8881,을지로3가,37.566375,126.99026333333336,1
8884,용산구청.이태원시장,37.534375,126.99046,2
8902,이태원역1번출구.해밀턴호텔,37.534551666666665,126.99304333333332,2
8908,대우효령아파트,37.48025,126.99336166666666,1
8913,내방역,37.48673833333333,126.99408666666668,1
8922,관문체육공원.과천성당,37.438825,126.99461666666666,1
8923,성뒤마을.교육연수원,37.47380666666666,126.99465166666666,1
8935,을지로4가,37.56668666666667,126.99593333333333,1
8942,지하철2호선방배역,37.48135166666667,126.99671166666668,5
8951,동빙고동,37.521265,126.99703833333334,8
8952,원남동,37.57452333333333,126.99742666666668,3
8965,기업은행보광동지점,37.52800833333333,126.99930333333332,5
8971,청덕초교,37.60863,127.00006,13
8972,한남동주민센터,37.53704666666667,127.00046833333332,3
8982,경남임광아파트,37.4772,127.00063166666664,3
8985,방배그랑자이아파트,37.47487,127.00086333333331,2
8986,보광동신동아아파트,37.52570333333333,127.001465,1
8987,방배동신동아아파트,37.482353333333336,127.00176000000002,1
8993,보광신동아아파트삼성리버빌아파트,37.52482833333333,127.001995,7
9008,정릉산장아파트,37.61671166666667,127.00334333333332,1
9024,서울고등학교,37.48297,127.00500166666669,3
9037,정릉4동주민센터.경국사,37.613528333333335,127.006345,1
9052,뉴코아아울렛,37.50920166666666,127.00779833333333,8
9055,서초동삼성아파트,37.48854166666667,127.00899166666667,1
9061,성북청수도서관.정릉4동성당,37.61157,127.00843000000002,1
9065,서초중학교,37.48366166666666,127.00853666666666,11
9088,정릉2동주민센터,37.60497833333333,127.0112,1
9093,옥정중학교입구,37.54086666666667,127.01101666666666,5
9100,동대문역.흥인지문,37.57210166666667,127.01245333333333,13
9104,정릉우체국앞,37.60508333333333,127.01147666666664,2
9110,서초3동주민센터,37.48320666666667,127.01159166666666,4
9115,서초3동주민센터,37.48325166666667,127.01203333333332,2
9130,식유촌우면성당.서초호반써밋,37.45730666666667,127.01425666666668,1
9135,서초동예술의전당,37.48173666666666,127.01286166666664,4
9153,청계7가.맑은내다리,37.57004,127.01309333333332,1
9155,서울교대사거리,37.48808666666666,127.01331,1
9168,아리랑고개.아리랑시네미디어센터,37.600695,127.01374833333333,5
9173,래미안신반포리오센트아파트,37.51962666666667,127.013905,1
9182,신반포18차아파트,37.520158333333335,127.014195,3
9235,북부성모병원,37.646730000000005,127.01709166666666,2
9239,성북구청.성북경찰서,37.58815166666667,127.01743166666664,1
9270,은행나무입구사거리,37.45180666666667,126.90728,4
9274,신대방경남아파트,37.49024833333333,126.90759333333332,34
9275,영동초교.영등포평생학습관,37.52549833333333,126.907365,2
9276,관악역,37.41812166666667,126.90704333333332,1
9279,강남성심병원.대림성모병원,37.49097833333334,126.90799833333334,61
9286,태양의집,37.49614833333333,126.90823666666664,1
9292,태양의집.KT대방지사,37.49509166666667,126.90880833333334,35
9310,신풍역.백악관웨딩문화원앞,37.501311666666666,126.91004166666669,4
9311,신사동고개.은평지역자활센터,37.59866,126.91009833333334,5
9312,영등포로터리,37.51906333333333,126.90985166666664,265
9325,신길힐스테이트클래시안아파트,37.505001666666665,126.91078,47
9326,신길가마산로교차로,37.50637166666667,126.91090833333334,1
9330,구산중학교.구산교회,37.608671666666666,126.91081666666666,6
9335,구산동주민센터.구산치안센터,37.612206666666665,126.91129,1
9348,신길동홍어거리,37.51082,126.91147666666666,3
9353,영등포공원.영등포문화원,37.51383,126.911385,3
9360,와산교,37.58776833333333,126.91265166666666,11
9364,안양예술공원지하도,37.41032666666667,126.91402333333332,1
9369,모래내삼거리,37.57077833333334,126.913295,3
9371,북가좌삼호.DMC아이파크아파트,37.57531,126.91330833333336,2
